Virus,Decay,Dose,Rep,Indiv,Date.Autop,Virus.Pres
CONTROL,NA,NA,1,1,,
CONTROL,NA,NA,1,2,3-Jul,0
CONTROL,NA,NA,1,3,,
CONTROL,NA,NA,1,4,,
CONTROL,NA,NA,1,5,,
CONTROL,NA,NA,1,6,,
CONTROL,NA,NA,1,7,,
CONTROL,NA,NA,1,8,,
CONTROL,NA,NA,1,9,,
CONTROL,NA,NA,1,10,,
CONTROL,NA,NA,1,11,,
CONTROL,NA,NA,1,12,,
CONTROL,NA,NA,1,13,,
CONTROL,NA,NA,1,14,,
CONTROL,NA,NA,1,15,,
CONTROL,NA,NA,1,16,,
CONTROL,NA,NA,1,17,,
CONTROL,NA,NA,1,18,6-Jul,1
CONTROL,NA,NA,1,19,,
CONTROL,NA,NA,1,20,3-Jul,0
CONTROL,NA,NA,2,1,,
CONTROL,NA,NA,2,2,,
CONTROL,NA,NA,2,3,,
CONTROL,NA,NA,2,4,,
CONTROL,NA,NA,2,5,,
CONTROL,NA,NA,2,6,,
CONTROL,NA,NA,2,7,,
CONTROL,NA,NA,2,8,,
CONTROL,NA,NA,2,9,,
CONTROL,NA,NA,2,10,,
CONTROL,NA,NA,2,11,,
CONTROL,NA,NA,2,12,,
CONTROL,NA,NA,2,13,,
CONTROL,NA,NA,2,14,,
CONTROL,NA,NA,2,15,,
CONTROL,NA,NA,2,16,,
CONTROL,NA,NA,2,17,,
CONTROL,NA,NA,2,18,,
CONTROL,NA,NA,2,19,,
CONTROL,NA,NA,3,1,,
CONTROL,NA,NA,3,2,,
CONTROL,NA,NA,3,3,,
CONTROL,NA,NA,3,4,,
CONTROL,NA,NA,3,5,,
CONTROL,NA,NA,3,6,,
CONTROL,NA,NA,3,7,,
CONTROL,NA,NA,3,8,,
CONTROL,NA,NA,3,9,,
CONTROL,NA,NA,3,10,7-Jul,0
CONTROL,NA,NA,3,11,,
CONTROL,NA,NA,3,12,3-Jul,0
CONTROL,NA,NA,3,13,,
CONTROL,NA,NA,3,14,20-Jul,0
CONTROL,NA,NA,3,15,,
CONTROL,NA,NA,3,16,,
CONTROL,NA,NA,4,1,,
CONTROL,NA,NA,4,2,4-Jul,0
CONTROL,NA,NA,4,3,,
CONTROL,NA,NA,4,4,,
CONTROL,NA,NA,4,5,4-Jul,0
CONTROL,NA,NA,4,6,,
CONTROL,NA,NA,4,7,,
CONTROL,NA,NA,4,8,,
CONTROL,NA,NA,4,9,,
CONTROL,NA,NA,4,10,6-Jul,0
CONTROL,NA,NA,4,11,,
CONTROL,NA,NA,4,12,4-Jul,0
CONTROL,NA,NA,5,1,,
CONTROL,NA,NA,5,2,,
CONTROL,NA,NA,5,3,4-Jul,0
CONTROL,NA,NA,5,4,,
CONTROL,NA,NA,5,5,,
CONTROL,NA,NA,5,6,4-Jul,0
CONTROL,NA,NA,5,7,,
CONTROL,NA,NA,5,8,,
CONTROL,NA,NA,5,9,,
CONTROL,NA,NA,5,10,,
CONTROL,NA,NA,6,1,,
CONTROL,NA,NA,6,2,,
CONTROL,NA,NA,6,3,,
CONTROL,NA,NA,6,4,,
CONTROL,NA,NA,6,5,,
CONTROL,NA,NA,6,6,,
CONTROL,NA,NA,6,7,,
CONTROL,NA,NA,6,8,,
CONTROL,NA,NA,6,9,,
CONTROL,NA,NA,6,10,,
CONTROL,NA,NA,6,11,,
CONTROL,NA,NA,6,12,,
CONTROL,NA,NA,7,1,,
CONTROL,NA,NA,7,2,,
CONTROL,NA,NA,7,3,,
CONTROL,NA,NA,7,4,,
CONTROL,NA,NA,7,5,,
CONTROL,NA,NA,7,6,,
CONTROL,NA,NA,7,7,,
KLIP,0D,HI,1,1,15-Jul,1
KLIP,0D,HI,1,2,,
KLIP,0D,HI,1,3,22-Jul,1
KLIP,0D,HI,1,4,,
KLIP,0D,HI,1,5,,
KLIP,0D,HI,1,6,,
KLIP,0D,HI,1,7,,
KLIP,0D,HI,1,8,22-Jul,0
KLIP,0D,HI,1,9,,
KLIP,0D,HI,1,10,6-Jul,1
KLIP,0D,HI,1,11,,
KLIP,0D,HI,1,12,22-Jul,1
KLIP,0D,HI,1,13,,
KLIP,0D,HI,1,14,,
KLIP,0D,HI,1,15,,
KLIP,0D,HI,1,16,22-Jul,1
KLIP,0D,HI,1,17,,
KLIP,0D,HI,1,18,,
KLIP,0D,HI,1,19,,
KLIP,0D,HI,1,20,6-Jul,0
KLIP,0D,HI,2,1,,
KLIP,0D,HI,2,2,,
KLIP,0D,HI,2,3,,
KLIP,0D,HI,2,4,,
KLIP,0D,HI,2,5,3-Jul,0
KLIP,0D,HI,2,6,,
KLIP,0D,HI,2,7,,
KLIP,0D,HI,2,8,,
KLIP,0D,HI,2,9,,
KLIP,0D,HI,2,10,,
KLIP,0D,HI,2,11,,
KLIP,0D,HI,2,12,,
KLIP,0D,HI,2,13,,
KLIP,0D,HI,2,14,,
KLIP,0D,HI,2,15,20-Jul,
KLIP,0D,HI,2,16,,
KLIP,0D,HI,2,17,,
KLIP,0D,HI,2,18,,
KLIP,0D,HI,2,19,,
KLIP,0D,HI,3,1,6-Jul,1
KLIP,0D,HI,3,2,4-Jul,1
KLIP,0D,HI,3,3,,
KLIP,0D,HI,3,4,,
KLIP,0D,HI,3,5,,
KLIP,0D,HI,3,6,,
KLIP,0D,HI,3,7,9-Jul,1
KLIP,0D,HI,3,8,,
KLIP,0D,HI,3,9,4-Jul,1
KLIP,0D,HI,3,10,,
KLIP,0D,HI,3,11,,
KLIP,0D,HI,3,12,10-Jul,1
KLIP,0D,HI,3,13,,
KLIP,0D,HI,3,14,,
KLIP,0D,HI,3,15,,
KLIP,0D,HI,3,16,,
KLIP,0D,HI,3,17,,
KLIP,0D,HI,3,18,,
KLIP,0D,HI,3,19,,
KLIP,0D,HI,4,1,4-Jul,1
KLIP,0D,HI,4,2,,
KLIP,0D,HI,4,3,,
KLIP,0D,HI,4,4,,
KLIP,0D,HI,4,5,,
KLIP,0D,HI,4,6,6-Jul,1
KLIP,0D,HI,4,7,12-Jul,1
KLIP,0D,HI,4,8,,
KLIP,0D,HI,4,9,7-Jul,1
KLIP,0D,HI,4,10,,
KLIP,0D,HI,4,11,,
KLIP,0D,HI,4,12,,
KLIP,0D,HI,4,13,,
KLIP,0D,HI,4,14,6-Jul,1
KLIP,0D,HI,4,15,7-Jul,1
KLIP,0D,HI,4,16,4-Jul,1
KLIP,0D,HI,4,17,,
KLIP,0D,HI,4,18,,
KLIP,0D,HI,4,19,,
KLIP,0D,HI,5,1,15-Jul,1
KLIP,0D,HI,5,2,,
KLIP,0D,HI,5,3,,
KLIP,0D,HI,5,4,8-Jul,1
KLIP,0D,HI,5,5,8-Jul,1
KLIP,0D,HI,5,6,,
KLIP,0D,HI,5,7,8-Jul,1
KLIP,0D,HI,5,8,10-Jul,1
KLIP,0D,HI,5,9,,
KLIP,0D,HI,5,10,8-Jul,1
KLIP,0D,HI,5,11,,
KLIP,0D,HI,5,12,9-Jul,1
KLIP,0D,HI,5,13,9-Jul,0
KLIP,0D,HI,5,14,5-Jul,0
KLIP,0D,HI,6,1,5-Jul,1
KLIP,0D,HI,6,2,5-Jul,1
KLIP,0D,HI,6,3,5-Jul,1
KLIP,0D,HI,6,4,5-Jul,1
KLIP,0D,HI,6,5,9-Jul,1
KLIP,0D,HI,6,6,8-Jul,1
KLIP,0D,HI,6,7,5-Jul,0
KLIP,0D,HI,7,1,5-Jul,1
KLIP,0D,HI,7,2,8-Jul,1
KLIP,0D,HI,7,3,8-Jul,1
KLIP,0D,HI,7,4,5-Jul,1
KLIP,0D,HI,7,5,8-Jul,1
KLIP,0D,HI,7,6,13-Jul,1
KLIP,0D,HI,7,7,7-Jul,1
KLIP,0D,HI,7,8,9-Jul,1
KLIP,0D,HI,7,9,,
KLIP,0D,HI,7,10,10-Jul,1
KLIP,0D,HI,7,11,7-Jul,1
KLIP,0D,HI,7,12,,
KLIP,0D,HI,7,13,7-Jul,1
KLIP,0D,HI,7,14,8-Jul,1
KLIP,0D,HI,7,15,7-Jul,1
KLIP,0D,HI,7,16,,
KLIP,0D,HI,7,17,,
KLIP,0D,HI,7,18,,
KLIP,0D,LOW,1,1,,
KLIP,0D,LOW,1,2,,
KLIP,0D,LOW,1,3,,
KLIP,0D,LOW,1,4,22-Jul,1
KLIP,0D,LOW,1,5,,
KLIP,0D,LOW,1,6,,
KLIP,0D,LOW,1,7,,
KLIP,0D,LOW,1,8,,
KLIP,0D,LOW,1,9,,
KLIP,0D,LOW,1,10,,
KLIP,0D,LOW,1,11,,
KLIP,0D,LOW,1,12,,
KLIP,0D,LOW,1,13,,
KLIP,0D,LOW,1,14,,
KLIP,0D,LOW,1,15,,
KLIP,0D,LOW,1,16,,
KLIP,0D,LOW,1,17,,
KLIP,0D,LOW,1,18,20-Jul,1
KLIP,0D,LOW,2,1,22-Jul,0
KLIP,0D,LOW,2,2,,
KLIP,0D,LOW,2,3,,
KLIP,0D,LOW,2,4,,
KLIP,0D,LOW,2,5,,
KLIP,0D,LOW,2,6,,
KLIP,0D,LOW,2,7,3-Jul,1
KLIP,0D,LOW,2,8,22-Jul,0
KLIP,0D,LOW,2,9,22-Jul,0
KLIP,0D,LOW,2,10,,
KLIP,0D,LOW,2,11,,
KLIP,0D,LOW,2,12,,
KLIP,0D,LOW,2,13,,
KLIP,0D,LOW,2,14,22-Jul,1
KLIP,0D,LOW,2,15,22-Jul,1
KLIP,0D,LOW,2,16,22-Jul,0
KLIP,0D,LOW,2,17,,
KLIP,0D,LOW,2,18,,
KLIP,0D,LOW,2,19,,
KLIP,0D,LOW,3,1,4-Jul,0
KLIP,0D,LOW,3,2,,
KLIP,0D,LOW,3,3,,
KLIP,0D,LOW,3,4,,
KLIP,0D,LOW,3,5,,
KLIP,0D,LOW,3,6,,
KLIP,0D,LOW,3,7,,
KLIP,0D,LOW,3,8,,
KLIP,0D,LOW,3,9,,
KLIP,0D,LOW,3,10,,
KLIP,0D,LOW,3,11,22-Jul,1
KLIP,0D,LOW,3,12,,
KLIP,0D,LOW,3,13,,
KLIP,0D,LOW,3,14,10-Jul,0
KLIP,0D,LOW,3,15,,
KLIP,0D,LOW,3,16,4-Jul,0
KLIP,0D,LOW,3,17,,
KLIP,0D,LOW,3,18,,
KLIP,0D,LOW,4,1,,
KLIP,0D,LOW,4,2,,
KLIP,0D,LOW,4,3,,
KLIP,0D,LOW,4,4,,
KLIP,0D,LOW,4,5,,
KLIP,0D,LOW,4,6,,
KLIP,0D,LOW,4,7,,
KLIP,0D,LOW,4,8,,
KLIP,0D,LOW,4,9,,
KLIP,0D,LOW,4,10,,
KLIP,0D,LOW,4,11,,
KLIP,0D,LOW,4,12,,
KLIP,0D,LOW,4,13,,
KLIP,0D,LOW,4,14,,
KLIP,0D,LOW,4,15,,
KLIP,0D,LOW,4,16,,
KLIP,0D,LOW,4,17,,
KLIP,0D,LOW,4,18,,
KLIP,0D,LOW,4,19,4-Jul,0
KLIP,0D,LOW,4,20,,
KLIP,0D,LOW,5,1,9-Jul,1
KLIP,0D,LOW,5,2,,
KLIP,0D,LOW,5,3,10-Jul,1
KLIP,0D,LOW,5,4,,
KLIP,0D,LOW,5,5,,
KLIP,0D,LOW,5,6,,
KLIP,0D,LOW,5,7,,
KLIP,0D,LOW,5,8,,
KLIP,0D,LOW,5,9,,
KLIP,0D,LOW,5,10,,
KLIP,0D,LOW,5,11,,
KLIP,0D,LOW,5,12,7-Jul,1
KLIP,0D,LOW,5,13,,
KLIP,0D,LOW,5,14,,
KLIP,0D,LOW,5,15,,
KLIP,0D,LOW,5,16,7-Jul,1
KLIP,0D,LOW,5,17,8-Jul,1
KLIP,0D,LOW,5,18,,
KLIP,0D,LOW,5,19,,
KLIP,0D,LOW,6,1,,
KLIP,0D,LOW,6,2,,
KLIP,0D,LOW,6,3,,
KLIP,0D,LOW,6,4,,
KLIP,0D,LOW,6,5,,
KLIP,0D,LOW,6,6,,
KLIP,0D,LOW,6,7,,
KLIP,0D,LOW,6,8,,
KLIP,0D,LOW,6,9,,
KLIP,0D,LOW,6,10,,
KLIP,0D,LOW,6,11,,
KLIP,0D,LOW,6,12,,
KLIP,0D,LOW,6,13,,
KLIP,0D,LOW,6,14,,
KLIP,0D,LOW,6,15,,
KLIP,0D,LOW,6,16,,
KLIP,0D,LOW,6,17,,
KLIP,0D,LOW,6,18,22-Jul,1
KLIP,0D,LOW,6,19,,
KLIP,0D,LOW,7,1,,
KLIP,0D,LOW,7,2,,
KLIP,0D,LOW,7,3,,
KLIP,0D,LOW,7,4,,
KLIP,0D,LOW,7,5,,
KLIP,0D,LOW,7,6,,
KLIP,0D,LOW,7,7,,
KLIP,0D,LOW,7,8,,
KLIP,0D,LOW,7,9,,
KLIP,3D,HI,1,1,6-Jul,0
KLIP,3D,HI,1,2,,
KLIP,3D,HI,1,3,,
KLIP,3D,HI,1,4,,
KLIP,3D,HI,1,5,,
KLIP,3D,HI,1,6,,
KLIP,3D,HI,1,7,,
KLIP,3D,HI,1,8,8-Jul,1
KLIP,3D,HI,1,9,,
KLIP,3D,HI,1,10,,
KLIP,3D,HI,1,11,,
KLIP,3D,HI,1,12,,
KLIP,3D,HI,1,13,6-Jul,0
KLIP,3D,HI,1,14,,
KLIP,3D,HI,1,15,20-Jul,1
KLIP,3D,HI,1,16,,
KLIP,3D,HI,2,1,,
KLIP,3D,HI,2,2,22-Jul,1
KLIP,3D,HI,2,3,,
KLIP,3D,HI,2,4,10-Jul,1
KLIP,3D,HI,2,5,,
KLIP,3D,HI,2,6,16-Jul,0
KLIP,3D,HI,2,7,,
KLIP,3D,HI,2,8,22-Jul,1
KLIP,3D,HI,2,9,,
KLIP,3D,HI,2,10,20-Jul,1
KLIP,3D,HI,2,11,22-Jul,1
KLIP,3D,HI,2,12,,
KLIP,3D,HI,2,13,,
KLIP,3D,HI,2,14,,
KLIP,3D,HI,2,15,,
KLIP,3D,HI,2,16,,
KLIP,3D,HI,3,1,,
KLIP,3D,HI,3,2,9-Jul,1
KLIP,3D,HI,3,3,,
KLIP,3D,HI,3,4,,
KLIP,3D,HI,3,5,,
KLIP,3D,HI,3,6,,
KLIP,3D,HI,4,1,,
KLIP,3D,HI,4,2,12-Jul,1
KLIP,3D,HI,4,3,,
KLIP,3D,HI,4,4,,
KLIP,3D,HI,4,5,,
KLIP,3D,HI,4,6,,
KLIP,3D,HI,4,7,,
KLIP,3D,HI,4,8,,
KLIP,3D,HI,4,9,,
KLIP,3D,HI,5,1,,
KLIP,3D,HI,5,2,,
KLIP,3D,HI,5,3,,
KLIP,3D,HI,5,4,,
KLIP,3D,HI,5,5,,
KLIP,3D,HI,5,6,16-Jul,1
KLIP,3D,HI,5,7,22-Jul,1
KLIP,3D,HI,5,8,10-Jul,1
KLIP,3D,HI,5,9,,
KLIP,3D,HI,5,10,,
KLIP,3D,HI,5,11,,
KLIP,3D,HI,5,12,,
KLIP,3D,HI,5,13,,
KLIP,3D,HI,5,14,,
KLIP,3D,HI,5,15,,
KLIP,3D,HI,5,16,,
KLIP,3D,HI,5,17,,
KLIP,3D,HI,5,18,11-Jul,1
KLIP,3D,HI,5,19,7-Jul,1
KLIP,3D,HI,5,20,,
KLIP,3D,HI,6,1,,
KLIP,3D,HI,6,2,11-Jul,1
KLIP,3D,HI,6,3,,
KLIP,3D,HI,6,4,10-Jul,1
KLIP,3D,HI,6,5,,
KLIP,3D,HI,6,6,,
KLIP,3D,HI,6,7,7-Jul,1
KLIP,3D,HI,6,8,,
KLIP,3D,HI,6,9,7-Jul,1
KLIP,3D,HI,6,10,,
KLIP,3D,HI,6,11,,
KLIP,3D,HI,6,12,,
KLIP,3D,HI,6,13,8-Jul,1
KLIP,3D,HI,6,14,,
KLIP,3D,HI,6,15,,
KLIP,3D,HI,6,16,,
KLIP,3D,HI,7,1,,
KLIP,3D,HI,7,2,10-Jul,1
KLIP,3D,HI,7,3,,
KLIP,3D,HI,7,4,11-Jul,1
KLIP,3D,HI,7,5,,
KLIP,3D,HI,7,6,16-Jul,1
KLIP,3D,HI,7,7,10-Jul,1
KLIP,3D,HI,7,8,10-Jul,1
KLIP,3D,HI,7,9,12-Jul,1
KLIP,3D,HI,7,10,13-Jul,1
KLIP,3D,HI,7,11,,
KLIP,3D,HI,7,12,11-Jul,1
KLIP,3D,HI,7,13,6-Jul,1
KLIP,3D,HI,7,14,,
KLIP,3D,HI,7,15,10-Jul,1
KLIP,3D,HI,7,16,,
KLIP,3D,LOW,1,1,,
KLIP,3D,LOW,1,2,,
KLIP,3D,LOW,1,3,,
KLIP,3D,LOW,1,4,,
KLIP,3D,LOW,1,5,,
KLIP,3D,LOW,1,6,,
KLIP,3D,LOW,1,7,,
KLIP,3D,LOW,1,8,,
KLIP,3D,LOW,1,9,,
KLIP,3D,LOW,1,10,,
KLIP,3D,LOW,1,11,11-Jul,1
KLIP,3D,LOW,1,12,,
KLIP,3D,LOW,1,13,,
KLIP,3D,LOW,1,14,,
KLIP,3D,LOW,1,15,,
KLIP,3D,LOW,1,16,,
KLIP,3D,LOW,1,17,10-Jul,1
KLIP,3D,LOW,1,18,,
KLIP,3D,LOW,1,19,,
KLIP,3D,LOW,2,1,6-Jul,1
KLIP,3D,LOW,2,2,,
KLIP,3D,LOW,2,3,,
KLIP,3D,LOW,2,4,,
KLIP,3D,LOW,2,5,,
KLIP,3D,LOW,2,6,,
KLIP,3D,LOW,2,7,,
KLIP,3D,LOW,2,8,,
KLIP,3D,LOW,2,9,,
KLIP,3D,LOW,2,10,,
KLIP,3D,LOW,2,11,,
KLIP,3D,LOW,2,12,,
KLIP,3D,LOW,2,13,,
KLIP,3D,LOW,2,14,22-Jul,1
KLIP,3D,LOW,2,15,,
KLIP,3D,LOW,2,16,,
KLIP,3D,LOW,2,17,,
KLIP,3D,LOW,2,18,,
KLIP,3D,LOW,2,19,,
KLIP,3D,LOW,3,1,,
KLIP,3D,LOW,4,1,,
KLIP,3D,LOW,4,2,,
KLIP,3D,LOW,4,3,,
KLIP,3D,LOW,4,4,,
KLIP,3D,LOW,4,5,7-Jul,1
KLIP,3D,LOW,4,6,,
KLIP,3D,LOW,4,7,,
KLIP,3D,LOW,4,8,,
KLIP,3D,LOW,4,9,,
KLIP,3D,LOW,4,10,,
KLIP,3D,LOW,4,11,,
KLIP,3D,LOW,4,12,,
KLIP,3D,LOW,4,13,,
KLIP,3D,LOW,4,14,,
KLIP,3D,LOW,4,15,,
KLIP,3D,LOW,4,16,,
KLIP,3D,LOW,4,17,,
KLIP,3D,LOW,4,18,13-Jul,1
KLIP,3D,LOW,4,19,,
KLIP,3D,LOW,5,1,,
KLIP,3D,LOW,5,2,,
KLIP,3D,LOW,5,3,,
KLIP,3D,LOW,5,4,10-Jul,1
KLIP,3D,LOW,5,5,,
KLIP,3D,LOW,5,6,,
KLIP,3D,LOW,5,7,,
KLIP,3D,LOW,5,8,,
KLIP,3D,LOW,5,9,,
KLIP,3D,LOW,5,10,9-Jul,1
KLIP,3D,LOW,5,11,,
KLIP,3D,LOW,5,12,,
KLIP,3D,LOW,5,13,,
KLIP,3D,LOW,5,14,,
KLIP,3D,LOW,5,15,9-Jul,1
KLIP,3D,LOW,5,16,10-Jul,1
KLIP,3D,LOW,5,17,,
KLIP,3D,LOW,5,18,10-Jul,1
KLIP,3D,LOW,5,19,7-Jul,1
KLIP,3D,LOW,5,20,,
KLIP,3D,LOW,6,1,,
KLIP,3D,LOW,6,2,,
KLIP,3D,LOW,6,3,,
KLIP,3D,LOW,6,4,10-Jul,1
KLIP,3D,LOW,6,5,,
KLIP,3D,LOW,6,6,,
KLIP,3D,LOW,6,7,,
KLIP,3D,LOW,6,8,,
KLIP,3D,LOW,6,9,,
KLIP,3D,LOW,6,10,,
KLIP,3D,LOW,6,11,,
KLIP,3D,LOW,6,12,,
KLIP,3D,LOW,6,13,,
KLIP,3D,LOW,6,14,,
KLIP,3D,LOW,6,15,,
KLIP,3D,LOW,6,16,,
KLIP,3D,LOW,6,17,,
KLIP,3D,LOW,6,18,10-Jul,1
KLIP,3D,LOW,6,19,,
KLIP,3D,LOW,7,1,,
LOVE,0D,HI,1,1,,
LOVE,0D,HI,1,2,,
LOVE,0D,HI,1,3,,
LOVE,0D,HI,1,4,6-Jul,0
LOVE,0D,HI,1,5,,
LOVE,0D,HI,1,6,,
LOVE,0D,HI,1,7,,
LOVE,0D,HI,1,8,,
LOVE,0D,HI,1,9,,
LOVE,0D,HI,1,10,,
LOVE,0D,HI,1,11,,
LOVE,0D,HI,1,12,,
LOVE,0D,HI,1,13,,
LOVE,0D,HI,1,14,,
LOVE,0D,HI,1,15,6-Jul,1
LOVE,0D,HI,1,16,,
LOVE,0D,HI,1,17,,
LOVE,0D,HI,1,18,,
LOVE,0D,HI,2,1,,
LOVE,0D,HI,2,2,,
LOVE,0D,HI,2,3,,
LOVE,0D,HI,2,4,,
LOVE,0D,HI,2,5,6-Jul,1
LOVE,0D,HI,2,6,,
LOVE,0D,HI,2,7,,
LOVE,0D,HI,2,8,,
LOVE,0D,HI,2,9,,
LOVE,0D,HI,2,10,6-Jul,1
LOVE,0D,HI,2,11,,
