Bag#,Virus,Decay,Dose,Rep,Picture.Prefix,Picture.ID,Fan.Cyl,Area.in2,Area.cm2,NOTES:
19,LOVE,0D,LOW,2,20150627,113608,Fan,274.340,,
15,TMB,0D,HI,2,20150627,113921,Cyl,272.230,,
27,NM,0D,LOW,2,20150627,114920,Cyl,194.249,,
36,CONTROL,,,2,20150627,120000,Cyl,127.562,,
14,TMB,0D,HI,1,20150627,121143,Cyl,205.135,,
23,LOVE,0D,HI,2,20150627,121752,Cyl,306.314,,
35,CONTROL,,,1,20150627,122613,Fan,157.342,,
2,KLIP,0D,LOW,2,20150627,130323,Fan,156.001,,
33,NM,0D,HI,1,20150627,130439,Fan,275.523,,
1,KLIP,0D,LOW,1,20150627,130618,Cyl,170.441,,
37,CONTROL,,,3,20150627,132024,Cyl,321.540,,
32,NM,0D,HI,2,20150627,132759,Fan,253.320,,
26,NM,0D,LOW,1,20150627,133644,Fan,137.682,,
22,LOVE,0D,HI,1,20150627,134157,Fan,392.847,,
18,LOVE,0D,LOW,1,20150627,135501,Cyl,179.896,,
10,TMB,0D,LOW,2,20150627,140045,Cyl,263.666,,
9,TMB,0D,LOW,1,20150627,140255,Cyl,273.760,,
5,KLIP,0D,HI,1,20150627,141417,Cyl,373.228,,
6,KLIP,0D,HI,2,20150627,141911,Cyl,245.099,,
53,TMB,0D,LOW,4,20150628,114126,Cyl,195.047,,
74,NM,0D,HI,4,20150628,114440,Cyl,145.206,,
75,NM,0D,HI,5,20150628,114550,Cyl,247.899,,
52,TMB,0D,LOW,3,20150628,115258,Cyl,219.773,,
43,KLIP,0D,HI,3,20150628,120536,Cyl,259.149,,
79,CONTROL,,,4,20150628,121024,Cyl,263.896,,
80,CONTROL,,,5,20150628,121122,Cyl,231.604,,needle burn
54,TMB,0D,LOW,5,20150628,124118,Fan,264.556,,
48,TMB,0D,HI,4,20150628,130307,Cyl,205.170,,
68,NM,0D,LOW,4,20150628,130508,Cyl,202.847,,
39,KLIP,0D,LOW,4,20150628,130757,Cyl,192.486,,
44,KLIP,0D,HI,4,20150628,132202,Cyl,193.164,,
63,LOVE,0D,LOW,4,20150628,132253,Cyl,254.064,,needle burn
47,TMB,0D,HI,3,20150628,132335,Fan,256.061,,
58,LOVE,0D,HI,3,20150628,134031,Cyl,372.571,,
62,LOVE,0D,LOW,3,20150628,134156,Fan,231.262,,
69,NM,0D,LOW,5,20150628,134909,Cyl,223.831,,
67,NM,0D,LOW,3,20150628,135618,Cyl,169.975,,
73,NM,0D,HI,3,20150628,140147,Fan,290.047,,
38,KLIP,0D,LOW,3,20150628,141357,Fan,198.107,,
59,LOVE,0D,HI,4,20150628,142844,Fan,341.551,,
82,KLIP,0D,LOW,6,20150629,114608,Cyl,299.225,1930.477,
97,TMB,0D,HI,7,20150629,114705,Cyl,262.593,1694.142,
118,CONTROL,,,6,20150629,114850,NA,0.100,0,
105,LOVE,0D,HI,5,20150629,120831,Cyl,245.082,1581.171,
119,CONTROL,,,7,20150629,121512,NA,0.100,0,
100,LOVE,0D,LOW,5,20150629,122944,Cyl,264.320,1705.285,
110,NM,0D,LOW,6,20150629,123733,Cyl,255.134,1646.02,
112,NM,0D,LOW,8,20150629,124552,Cyl,235.986,1522.485,
111,NM,0D,LOW,7,20150629,125316,Fan,334.615,2158.804,
95,TMB,0D,HI,5,20150629,125622,Cyl,213.557,1377.787,
102,LOVE,0D,LOW,7,20150629,130909,Cyl,143.941,928.649,
106,LOVE,0D,HI,6,20150629,133210,Cyl,233.537,1506.685,
114,NM,0D,HI,6,20150629,133258,Cyl,256.817,1656.879,
115,NM,0D,HI,7,20150629,134915,Cyl,209.633,1352.469,
86,KLIP,0D,HI,5,20150629,135353,Cyl,335.864,2166.857,
96,TMB,0D,HI,6,20150629,141544,Cyl,208.980,1348.257,
101,LOVE,0D,LOW,6,20150629,141805,Fan,208.567,1345.589,
93,TMB,0D,LOW,7,20150629,143147,Cyl,269.119,1736.249,
92,TMB,0D,LOW,6,20150629,143806,Cyl,164.424,1060.801,
88,KLIP,0D,HI,7,20150629,145314,Cyl,170.962,1102.98,
83,KLIP,0D,LOW,7,20150629,145942,Cyl,209.391,1350.909,
87,KLIP,0D,HI,6,20150629,150557,Cyl,162.670,1049.48,
81,KLIP,0D,LOW,5,20150629,151854,Cyl,259.942,1677.04,
13,TMB,3D,LOW,3,20150630,111509,Fan,264.103,,
24,LOVE,3D,HI,1,20150630,111735,Fan,299.137,,
3,KLIP,3D,LOW,1,20150630,113952,Cyl,266.511,,
30,NM,3D,LOW,3,20150630,120541,Fan,238.713,,
31,NM,3D,HI,1,20150630,120656,Cyl,221.786,,
11,TMB,3D,LOW,1,20150630,120921,Cyl,229.935,,
20,LOVE,3D,LOW,1,20150630,122602,Cyl,197.891,,
28,NM,3D,LOW,1,20150630,122746,Cyl,263.406,,
17,TMB,3D,HI,2,20150630,122910,Cyl,186.862,,
34,NM,3D,HI,2,20150630,124744,Cyl,270.721,,
7,KLIP,3D,HI,1,20150630,125625,Fan,290.365,,
29,NM,3D,LOW,2,20150630,130401,Cyl,262.328,,
8,KLIP,3D,HI,2,20150630,130722,Fan,435.468,,
4,KLIP,3D,LOW,2,20150630,132227,Fan,402.725,,
25,LOVE,3D,HI,2,20150630,132844,Fan,306.639,,
21,LOVE,3D,LOW,2,20150630,134741,Cyl,215.084,,
12,TMB,3D,LOW,2,20150630,135011,Fan,385.933,,
16,TMB,3D,HI,1,20150630,135514,Cyl,218.805,,
71,NM,3D,LOW,5,20150701,103847,Cyl,191.657,,
49,TMB,3D,HI,3,20150701,104026,Fan,326.317,,
61,LOVE,3D,HI,4,20150701,105353,Cyl,251.213,,
50,TMB,3D,HI,4,20150701,105600,Cyl,191.258,,
41,KLIP,3D,LOW,4,20150701,111707,Cyl,221.395,,
42,KLIP,3D,LOW,5,20150701,111841,Cyl,206.715,,
55,TMB,3D,LOW,4,20150701,114052,Fan,285.082,,
57,TMB,3D,LOW,6,20150701,114146,Cyl,151.745,,
78,NM,3D,HI,5,20150701,115158,Fan,308.074,,
51,TMB,3D,HI,5,20150701,120235,Cyl,264.782,,
56,TMB,3D,LOW,5,20150701,121033,Cyl,202.036,,
46,KLIP,3D,HI,4,20150701,133942,Cyl,279.590,,
60,LOVE,3D,HI,3,20150701,135610,Cyl,289.491,,
64,LOVE,3D,LOW,3,20150701,135939,Cyl,221.387,,
65,LOVE,3D,LOW,4,20150701,140807,Cyl,189.033,,
77,NM,3D,HI,4,20150701,141451,Fan,259.461,,
66,LOVE,3D,LOW,5,20150701,141753,Fan,167.341,,
45,KLIP,3D,HI,3,20150701,141846,Cyl,248.028,,
70,NM,3D,LOW,4,20150701,143758,Cyl,270.001,,
72,NM,3D,LOW,6,20150701,144700,Cyl,314.159,,
40,KLIP,3D,LOW,3,20150701,145912,Cyl,265.097,,
76,NM,3D,HI,3,20150701,151020,Cyl,184.939,,
98,TMB,3D,HI,6,20150702,110319,Cyl,288.861,,
99,TMB,3D,HI,7,20150702,110721,Fan,274.760,,
104,LOVE,3D,LOW,7,20150702,111757,Fan,254.717,,
90,KLIP,3D,HI,6,20150702,112706,Cyl,197.314,,
85,KLIP,3D,LOW,7,20150702,113704,Cyl,241.044,,
117,NM,3D,HI,7,20150702,115028,Cyl,317.252,,
113,NM,3D,LOW,7,20150702,120349,Cyl,156.857,,
94,TMB,3D,LOW,7,20150702,121557,Cyl,222.957,,
108,LOVE,3D,HI,6,20150702,121704,Cyl,179.034,,
103,LOVE,3D,LOW,6,20150702,122539,Cyl,155.620,,
84,KLIP,3D,LOW,6,20150702,123411,Cyl,298.910,,
109,LOVE,3D,HI,7,20150702,123508,Cyl,217.886,,
116,NM,3D,HI,6,20150702,125108,Cyl,177.388,,
89,KLIP,3D,HI,5,20150702,125541,Fan,275.700,,
91,KLIP,3D,HI,7,20150702,130518,Cyl,161.254,,
107,LOVE,3D,HI,5,20150702,131157,Cyl,221.087,,